course_id,course_name,state
C300581,Astronautics,active
C424294,Patents,active
C165687,Canoeing,active
C696253,Substance abuse,deleted
C967824,Budgeting,deleted
C628944,Suicide,active
C035962,French language,active
C963278,Botany,active
C222487,Kitchen remodeling,active
C212550,Weather forecasting,active
C032306,Judiciary,active
C145137,Investing,active
C921807,Mathematics,active
C126767,Feelings,deleted
C289566,Diseases,active
C439738,Depression glass,active
C732380,"Abortion, law",active
C494738,Air warfare,active
C069987,Holidays,deleted
