course_id,user_id,state
C035962,U443006,active
C069987,U966556,active
C032306,U511908,active
C628944,U387250,active
C300581,U346561,active
C424294,U700672,active
C696253,U180698,active
C126767,U560122,active
C696253,U652606,active
C628944,U144991,active
C300581,U652606,active
C300581,U139455,active
C732380,U824115,deleted
C424294,U977454,active
C126767,U511908,deleted
C035962,U401211,active
C628944,U346561,active
C628944,U700516,active
C126767,U443006,active
C696253,U297015,deleted
C069987,U812256,deleted
C921807,U215381,active
C165687,U966556,active
C126767,U819537,active
C732380,U192467,active
C032306,U917218,active
C424294,U266829,active
C035962,U192467,active
C300581,U387250,active
C035962,U297015,active
C732380,U977454,deleted
C069987,U387250,active
C439738,U139455,active
C967824,U511908,active
C126767,U443006,active
C126767,U531649,active
C921807,U139455,deleted
C628944,U917218,active
C696253,U346561,deleted
C696253,U917218,deleted
C032306,U144991,active
C967824,U917218,active
C628944,U144991,active
C696253,U443006,active
C069987,U511908,active
C732380,U812256,active
C069987,U192467,active
C732380,U139455,active
C300581,U824115,active
C165687,U812256,active
C035962,U292615,deleted
C696253,U812256,deleted
C165687,U387250,active
C424294,U387250,deleted
C165687,U346561,active
C212550,U494988,active
C439738,U938803,deleted
C032306,U652606,deleted
C696253,U966556,active
C035962,U180698,active
C035962,U144991,active
C967824,U144991,deleted
C165687,U966556,active
C035962,U476616,active
C628944,U266829,deleted
C289566,U806445,active
C494738,U346561,active
C628944,U700672,active
C696253,U292615,deleted
C732380,U507687,deleted
C165687,U872282,active
C424294,U917218,active
C069987,U806445,deleted
C628944,U192467,active
C963278,U700516,active
C300581,U979173,deleted
C424294,U652606,deleted
