course_id,course_name,state
C165687,Natural religion,active
C424294,Patents,active
C289566,Diseases,active
C126767,Feelings,deleted
C035962,French language,active
C212550,Weather forecasting,active
C145137,Investing,active
C921807,Jokes,active
C300581,Astronautics,active
C732380,"Abortion, law",active
C222487,Kitchen remodeling,active
C628944,Suicide,active
C313224,Conservation,active
C069987,Holidays,deleted
C961976,Elections,deleted
C439738,Depression glass,active
C215152,Witchcraft,active
C696253,Substance abuse,active
C663390,Satire,deleted
C963278,Botany,active
C967824,Budgeting,active
C494738,Air warfare,active
C032306,Judiciary,active
