course_id,user_id,state
C032306,U917218,active
C289566,U288161,deleted
C032306,U511908,active
C035962,U292615,deleted
C732380,U346561,active
C300581,U346561,deleted
C300581,U139455,active
C963278,U556850,deleted
C663390,U938803,active
C069987,U812256,deleted
C222487,U176749,active
C126767,U877257,active
C165687,U812256,active
C035962,U144991,active
C696253,U292615,deleted
C035962,U979173,deleted
C126767,U443006,active
C628944,U346561,active
C732380,U877257,active
C696253,U180698,active
C035962,U180698,active
C696253,U917218,active
C165687,U872282,active
C126767,U511908,active
C165687,U966556,active
C628944,U700672,active
C963278,U700516,active
C145137,U833377,deleted
C424294,U977454,active
C696253,U966556,active
C494738,U346561,deleted
C032306,U652606,active
C069987,U387250,active
C300581,U652606,active
C628944,U297015,deleted
C035962,U443006,active
C967824,U144991,deleted
C696253,U443006,active
C696253,U917218,deleted
C696253,U346561,deleted
C732380,U917218,active
C628944,U917218,active
C069987,U806445,active
C967824,U511908,active
C732380,U192467,deleted
C035962,U617555,active
C921807,U215381,active
C300581,U979173,active
C628944,U192467,deleted
C126767,U443006,active
C035962,U297015,active
C145137,U266829,deleted
C921807,U139455,deleted
C424294,U387250,active
C069987,U192467,deleted
C300581,U387250,deleted
C424294,U652606,deleted
C300581,U824115,active
C035962,U401211,active
C628944,U144991,active
C696253,U812256,deleted
C424294,U700672,active
C628944,U266829,deleted
C165687,U346561,active
C313224,U288161,active
C289566,U346561,deleted
C035962,U476616,deleted
C628944,U387250,active
C439738,U938803,deleted
C424294,U266829,active
C628944,U700516,deleted
C967824,U917218,active
C732380,U507687,deleted
C035962,U983350,deleted
C069987,U966556,active
C696253,U652606,active
C732380,U824115,deleted
C165687,U387250,active
C732380,U977454,deleted
C165687,U966556,active
C126767,U819537,active
C696253,U297015,deleted
C035962,U192467,active
C424294,U917218,deleted
C732380,U139455,active
C732380,U812256,active
C628944,U144991,active
C126767,U531649,active
C967824,U979173,active
C439738,U139455,active
C289566,U806445,active
C069987,U511908,active
C032306,U144991,active
C222487,U652606,active
