course_id,user_id,state
C300581,U979173,active
C165687,U966556,deleted
C035962,U292615,active
C696253,U917218,active
C300581,U387250,active
C165687,U966556,active
C165687,U872282,active
C424294,U266829,active
C696253,U292615,deleted
C628944,U700516,deleted
C696253,U812256,active
C732380,U977454,active
C967824,U511908,deleted
C069987,U806445,active
C035962,U401211,active
C628944,U700672,deleted
C165687,U346561,active
C696253,U443006,active
C165687,U812256,active
C732380,U824115,active
C300581,U652606,active
C628944,U192467,active
C967824,U144991,deleted
C069987,U387250,active
C424294,U977454,active
C628944,U917218,active
C696253,U297015,active
C424294,U387250,active
C035962,U144991,deleted
C035962,U297015,active
C032306,U144991,active
C032306,U652606,deleted
C069987,U966556,active
C732380,U192467,deleted
C424294,U917218,active
C439738,U938803,deleted
C069987,U192467,active
C300581,U139455,active
C628944,U144991,active
C035962,U476616,deleted
C424294,U652606,deleted
C439738,U139455,active
C069987,U812256,deleted
C300581,U346561,active
C032306,U917218,active
C126767,U511908,deleted
C696253,U346561,active
C732380,U139455,active
C732380,U812256,active
C126767,U531649,active
C628944,U346561,active
C126767,U443006,deleted
C628944,U387250,active
C696253,U966556,active
C696253,U652606,active
C628944,U266829,deleted
C165687,U387250,active
C300581,U824115,active
C032306,U511908,deleted
C069987,U511908,active
C628944,U144991,active
C921807,U215381,active
C424294,U700672,active
C035962,U180698,active
C967824,U917218,active
C696253,U180698,active
