course_id,course_name,state
C035962,French language,active
C696253,Substance abuse,active
C494738,Air warfare,active
C663390,Satire,deleted
C032306,Judiciary,active
C222487,Kitchen remodeling,active
C165687,Canoeing,active
C313224,Conservation,active
C963278,Botany,active
C732380,"Abortion, law",active
C967824,Budgeting,active
C145137,Investing,active
C126767,Feelings,deleted
C069987,Holidays,deleted
C628944,Suicide,active
C215152,Witchcraft,active
C289566,Diseases,active
C439738,Depression glass,active
C424294,Patents,active
C212550,Weather forecasting,active
C921807,Mathematics,active
C300581,Astronautics,active
