course_id,course_name,state
C145137,Investing,active
C165687,Canoeing,active
C035962,French language,active
C963278,Botany,active
C289566,Diseases,active
C032306,Judiciary,active
C069987,Holidays,deleted
C126767,Feelings,deleted
C300581,Astronautics,active
C696253,Substance abuse,active
C628944,Suicide,active
C494738,Air warfare,active
C663390,Satire,deleted
C921807,Mathematics,active
C439738,Depression glass,active
C424294,Patents,active
C732380,"Abortion, law",active
C222487,Kitchen remodeling,active
C212550,Weather forecasting,active
C967824,Budgeting,active
