course_id,user_id,state
C035962,U144991,deleted
C696253,U297015,active
C628944,U144991,active
C300581,U979173,active
C165687,U872282,active
C300581,U346561,active
C035962,U401211,active
C921807,U215381,active
C424294,U917218,deleted
C696253,U180698,active
C035962,U180698,active
C696253,U346561,active
C300581,U387250,active
C628944,U266829,deleted
C732380,U812256,active
C967824,U917218,active
C165687,U387250,active
C967824,U511908,active
C300581,U652606,active
C035962,U297015,active
C300581,U824115,active
C732380,U139455,active
C032306,U652606,active
C126767,U531649,active
C032306,U511908,deleted
C732380,U977454,active
C165687,U966556,deleted
C424294,U266829,active
C696253,U652606,active
C165687,U966556,active
C780004,U292615,deleted
C032306,U144991,active
C165687,U346561,active
C628944,U917218,active
C732380,U824115,active
C035962,U292615,active
C696253,U917218,active
C967824,U144991,deleted
C069987,U387250,active
C424294,U700672,active
C424294,U652606,deleted
C628944,U346561,active
C069987,U806445,active
C300581,U139455,active
C732380,U192467,active
C628944,U700516,deleted
C696253,U812256,active
C628944,U192467,active
C165687,U812256,active
C126767,U443006,deleted
C069987,U966556,active
C424294,U387250,active
C035962,U476616,deleted
C628944,U387250,active
C126767,U511908,active
C032306,U917218,active
C696253,U966556,active
C424294,U977454,active
C494738,U544305,active
C069987,U192467,active
C696253,U292615,active
C696253,U443006,active
C628944,U144991,active
C069987,U511908,active
